"id","faction","name","abilities",""
"0","SPM","Gladius Task Force","Combat Doctrines",""
"1","SPM","Anvil Siege Force","Shield of the Imperium",""
"2","SPM","Ironstorm Spearhead","Armoured Wrath",""
"3","SPM","Firestorm Assault Force","Close-range Eradication",""
"4","SPM","Stormlance Task Force","Lightning Assault",""
"5","SPM","Vanguard Spearhead","Shadow Masters",""
"6","SPM","1st Company Task Force","Extremis-level Threat",""
"7","SPM","Librarius Conclave","Psychic Disciplines",""
"8","TYR","Invasion Fleet","Hyper-adaptations",""
"9","TYR","Crusher Stampede","Enraged Behemoths",""
"10","TYR","Unending Swarm","Insurmountable Odds",""
"11","TYR","Assimilation Swarm","Feed the Swarm",""
"12","TYR","Vanguard Onslaught","Questing Tendrils;Vanguard Prime",""
"13","TYR","Synaptic Nexus","Synaptic Imperatives",""
"14","TYR","Warrior Bioform Onslaught","Leader-beasts",""
"15","TYR","Subterranean Assault","Surprise Assault",""
"16","ORK","War Horde","Get Stuck In",""
"17","ORK","Da Big Hunt","Da Hunt Is On",""
"18","ORK","Kult of Speed","Adrenaline Junkies",""
"19","ORK","Dread Mob","Try Dat Button!",""
"20","ORK","Green Tide","Mob Mentality",""
"21","ORK","Bully Boyz","Da Boss Is Watchin’",""
"22","ORK","Taktikal Brigade","Lissen ’Ere",""
"23","ORK","More Dakka!","Dakka! Dakka! Dakka!",""
"24","NEC","Awakened Dynasty","Command Protocols",""
"25","NEC","Annihilation Legion","Annihilation Protocol",""
"26","NEC","Canoptek Court","Power Matrix",""
"27","NEC","Obeisance Phalanx","Worthy Foes",""
"28","NEC","Hypercrypt Legion","Hyperphasing",""
"29","NEC","Starshatter Arsenal","Relentless Onslaught",""
"30","CUS","Talons Of The Emperor","Revered Companions",""
"31","CUS","Shield Host","Martial Mastery",""
"32","CUS","Null Maiden Vigil","Creeping Dread (Aura)",""
"33","CUS","Auric Champions","Assemblage of Might",""
"34","CUS","Solar Spearhead","Auric Armour",""
"35","CUS","Lions of the Emperor","Against All Odds",""
